,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
235,m31xkvgz,234,https://www.speedrun.com/sm64/run/m31xkvgz,2019-10-22T01:03:57Z,503.0,503.0,18v2l4ej,Zombie2,Canada,EMU,Yes
236,z5j1onem,234,https://www.speedrun.com/sm64/run/z5j1onem,2020-04-08T07:26:53Z,503.0,503.0,o86wzyqx,squidbird,United States,N64,Yes
237,zqwvp2xz,234,https://www.speedrun.com/sm64/run/zqwvp2xz,2020-05-27T14:26:08Z,503.0,503.0,5j594e6x,peta,Japan,N64,Yes
238,zxl9k28z,234,https://www.speedrun.com/sm64/run/zxl9k28z,2021-11-30T02:39:46Z,503.0,503.0,8qzwgr78,toilet64_,United States,N64,Yes
239,y2j0v9jz,234,https://www.speedrun.com/sm64/run/y2j0v9jz,2023-01-25T03:26:16Z,503.0,503.0,jo2ylrl8,Forsiak,United States,N64,Yes
240,z0jrvl9y,234,https://www.speedrun.com/sm64/run/z0jrvl9y,2023-06-13T18:30:28Z,503.0,503.0,8rpp4ogj,zjay64,Germany,N64,Yes
241,6yj67l7z,242,https://www.speedrun.com/sm64/run/6yj67l7z,2015-07-30T06:32:37Z,504.0,504.0,,,,N64,No
242,z127v3ry,243,https://www.speedrun.com/sm64/run/z127v3ry,2022-03-08T16:56:38Z,505.0,505.0,zxze4qex,caleb2112,United States,N64,Yes
243,z0pndk9y,243,https://www.speedrun.com/sm64/run/z0pndk9y,2022-06-10T08:58:11Z,505.0,505.0,v8lem77x,Frost_Byte,United States,N64,Yes
244,znv0p23m,243,https://www.speedrun.com/sm64/run/znv0p23m,2023-06-16T14:06:25Z,505.0,505.0,xyreddzj,squimmie,United States,N64,Yes
245,8y8dl05z,246,https://www.speedrun.com/sm64/run/8y8dl05z,2015-11-06T00:07:39Z,506.0,506.0,v48g37xp,JustinDT,Québec,N64,Yes
246,jy9kjrvz,246,https://www.speedrun.com/sm64/run/jy9kjrvz,2016-07-28T16:59:58Z,506.0,506.0,qjn3egwx,Babass_21,France,EMU,Yes
247,zp8o1wny,246,https://www.speedrun.com/sm64/run/zp8o1wny,2021-10-28T03:59:17Z,506.0,506.0,xy5nqpy8,AlienShockz,United States,N64,Yes
248,yvq5w2em,246,https://www.speedrun.com/sm64/run/yvq5w2em,2022-03-10T04:19:46Z,506.0,506.0,j0vkm73x,druz,United States,EMU,Yes
249,y4qxpnnm,246,https://www.speedrun.com/sm64/run/y4qxpnnm,2022-06-06T19:39:11Z,506.0,506.0,8g5kr62j,NaturallyAllen,United States,EMU,Yes
250,me3eo0qz,246,https://www.speedrun.com/sm64/run/me3eo0qz,2022-06-07T21:15:30Z,506.0,506.0,18qk2m78,DentoriousRed,United States,N64,Yes
251,zx7wjkgy,246,https://www.speedrun.com/sm64/run/zx7wjkgy,2022-06-20T19:24:32Z,506.0,506.0,98rv2rdj,Perna64,United States,N64,Yes
252,y2gj20wz,246,https://www.speedrun.com/sm64/run/y2gj20wz,2023-07-08T10:00:01Z,506.0,506.0,jp4q645j,GoodGrieth,,N64,Yes
253,mk52kp1m,254,https://www.speedrun.com/sm64/run/mk52kp1m,2021-08-09T19:40:49Z,507.0,507.0,qjor2nj6,Odme_,United States,VC,Yes
254,m76l1jey,254,https://www.speedrun.com/sm64/run/m76l1jey,2022-07-05T09:00:07Z,507.0,507.0,8geyv5pj,JakeMorris,United States,N64,Yes
255,z5193jem,256,https://www.speedrun.com/sm64/run/z5193jem,2019-05-03T23:09:16Z,508.0,508.0,qjn3my2x,Darkman_,France,EMU,Yes
256,yv60dn6z,256,https://www.speedrun.com/sm64/run/yv60dn6z,2020-06-18T10:39:33Z,508.0,508.0,dx394zkx,max25,England,N64,Yes
257,m70dnkey,256,https://www.speedrun.com/sm64/run/m70dnkey,2023-06-11T22:20:16Z,508.0,508.0,1xyky4n8,thags15,United States,N64,Yes
258,y98dk9vz,256,https://www.speedrun.com/sm64/run/y98dk9vz,2023-07-27T06:42:04Z,508.0,508.0,48gye018,Jalapiñecone,Canada,N64,Yes
259,z0xld84z,256,https://www.speedrun.com/sm64/run/z0xld84z,2023-11-26T07:14:06Z,508.0,508.0,81kddqpj,dekitan,,N64,Yes
260,pydv7vyn,261,https://www.speedrun.com/sm64/run/pydv7vyn,,509.0,509.0,,,,VC,Yes
261,yopdw1dm,261,https://www.speedrun.com/sm64/run/yopdw1dm,2022-06-06T16:11:11Z,509.0,509.0,8vo6q72x,oxef64,United States,EMU,Yes
262,y626wgqz,261,https://www.speedrun.com/sm64/run/y626wgqz,2023-06-07T05:10:57Z,509.0,509.0,xk4rk32j,Tankfird,United States,N64,Yes
263,zqj2en1m,261,https://www.speedrun.com/sm64/run/zqj2en1m,2023-08-01T01:19:50Z,509.0,509.0,kjp9nvk8,fazerlazer80,United States,N64,Yes
264,9menw9m7,265,https://www.speedrun.com/sm64/run/9menw9m7,2023-10-04T18:47:34Z,510.0,510.0,,,,N64,Yes
265,m31xj74z,265,https://www.speedrun.com/sm64/run/m31xj74z,2019-10-22T20:36:55Z,510.0,510.0,98rqq3gx,Kongtastic,Germany,EMU,Yes
266,znrjkrvy,265,https://www.speedrun.com/sm64/run/znrjkrvy,2019-10-30T13:47:43Z,510.0,510.0,o86q79qx,YobunTeme,Japan,N64,Yes
267,y25oj86y,265,https://www.speedrun.com/sm64/run/y25oj86y,2020-08-25T22:43:11Z,510.0,510.0,kjp4zn4j,Luvbaseball58,United States,EMU,Yes
268,zpgerjgz,265,https://www.speedrun.com/sm64/run/zpgerjgz,2023-04-05T08:49:35Z,510.0,510.0,x331032x,Myst1c,United States,EMU,Yes
